Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6
-6.135	0.09
-6.134	0.09
-6.132	0.09
-6.13	0.09
-6.129	0.09
-6.128	0.09
-6.126	0.09
-6.124	0.09
-6.123	0.09
-6.122	0.1
-6.12	0.09
-6.119	0.09
-6.117	0.09
-6.115	0.09
-6.114	0.09
-6.113	0.09
-6.111	0.09
-6.109	0.09
-6.108	0.09
-6.107	0.09
-6.105	0.09
-6.103	0.09
-6.102	0.09
-6.101	0.09
-6.099	0.09
-6.097	0.09
-6.096	0.09
-6.095	0.09
-6.093	0.09
-6.091	0.09
-6.09	0.09
-6.089	0.09
-6.087	0.09
-6.085	0.09
-6.084	0.09
-6.082	0.09
-6.081	0.09
-6.08	0.09
-6.078	0.09
-6.076	0.09
-6.075	0.09
-6.074	0.1
-6.072	0.09
-6.07	0.09
-6.069	0.09
-6.068	0.09
-6.066	0.09
-6.064	0.09
-6.063	0.1
-6.062	0.09
-6.06	0.09
-6.058	0.09
-6.057	0.09
-6.056	0.09
-6.054	0.09
-6.052	0.09
-6.051	0.1
-6.049	0.09
-6.048	0.09
-6.047	0.09
-6.045	0.09
-6.043	0.09
-6.042	0.09
-6.041	0.09
-6.039	0.09
-6.037	0.09
-6.036	0.09
-6.035	0.09
-6.033	0.09
-6.031	0.09
-6.03	0.09
-6.029	0.09
-6.027	0.09
-6.025	0.09
-6.024	0.09
-6.023	0.09
-6.021	0.09
-6.019	0.09
-6.018	0.09
-6.016	0.09
-6.015	0.09
-6.014	0.09
-6.012	0.09
-6.01	0.09
-6.009	0.09
-6.008	0.09
-6.006	0.09
-6.004	0.09
-6.003	0.09
-6.002	0.1
-6	0.09
-5.998	0.09
-5.997	0.09
-5.996	0.09
-5.994	0.09
-5.992	0.09
-5.991	0.09
-5.99	0.09
-5.988	0.09
-5.986	0.09
-5.985	0.09
-5.984	0.09
-5.982	0.09
-5.981	0.09
-5.979	0.1
-5.977	0.09
-5.976	0.09
-5.975	0.09
-5.973	0.09
-5.971	0.09
-5.97	0.09
-5.969	0.09
-5.967	0.09
-5.965	0.09
-5.964	0.09
-5.963	0.09
-5.961	0.09
-5.959	0.09
-5.958	0.09
-5.957	0.09
-5.955	0.08
-5.953	0.09
-5.952	0.1
-5.951	0.09
-5.949	0.09
-5.948	0.09
-5.946	0.1
-5.944	0.09
-5.943	0.09
-5.942	0.09
-5.94	0.1
-5.938	0.09
-5.937	0.09
-5.936	0.09
-5.934	0.09
-5.932	0.09
-5.931	0.09
-5.93	0.09
-5.928	0.09
-5.926	0.09
-5.925	0.09
-5.924	0.09
-5.922	0.09
-5.92	0.09
-5.919	0.09
-5.918	0.09
-5.916	0.09
-5.915	0.09
-5.913	0.09
-5.911	0.09
-5.91	0.09
-5.909	0.09
-5.907	0.09
-5.905	0.1
-5.904	0.09
-5.903	0.09
-5.901	0.09
-5.899	0.09
-5.898	0.09
-5.897	0.09
-5.895	0.09
-5.893	0.09
-5.892	0.09
-5.891	0.1
-5.889	0.09
-5.887	0.1
-5.886	0.09
-5.885	0.09
-5.883	0.09
-5.881	0.1
-5.88	0.09
-5.878	0.1
-5.877	0.09
-5.876	0.1
-5.874	0.09
-5.872	0.1
-5.871	0.1
-5.87	0.1
-5.868	0.09
-5.866	0.09
-5.865	0.09
-5.864	0.1
-5.862	0.1
-5.86	0.1
-5.859	0.1
-5.858	0.1
-5.856	0.1
-5.854	0.1
-5.853	0.09
-5.852	0.1
-5.85	0.1
-5.848	0.09
-5.847	0.1
-5.845	0.09
-5.844	0.1
-5.843	0.1
-5.841	0.1
-5.839	0.1
-5.838	0.1
-5.837	0.1
-5.835	0.1
-5.833	0.09
-5.832	0.1
-5.831	0.1
-5.829	0.1
-5.827	0.1
-5.826	0.1
-5.825	0.1
-5.823	0.1
-5.821	0.1
-5.82	0.1
-5.819	0.1
-5.817	0.1
-5.815	0.1
-5.814	0.1
-5.813	0.1
-5.811	0.09
-5.81	0.1
-5.808	0.1
-5.806	0.1
-5.805	0.09
-5.804	0.1
-5.802	0.1
-5.8	0.1
-5.799	0.1
-5.798	0.1
-5.796	0.1
-5.794	0.1
-5.793	0.1
-5.792	0.1
-5.79	0.09
-5.788	0.1
-5.787	0.1
-5.786	0.1
-5.784	0.09
-5.782	0.1
-5.781	0.1
-5.78	0.1
-5.778	0.1
-5.777	0.1
-5.775	0.1
-5.773	0.1
-5.772	0.1
-5.771	0.1
-5.769	0.1
-5.767	0.1
-5.766	0.1
-5.765	0.1
-5.763	0.1
-5.761	0.1
-5.76	0.1
-5.759	0.1
-5.757	0.1
-5.755	0.1
-5.754	0.1
-5.753	0.1
-5.751	0.1
-5.749	0.1
-5.748	0.1
-5.747	0.1
-5.745	0.1
-5.744	0.1
-5.742	0.1
-5.74	0.1
-5.739	0.1
-5.738	0.1
-5.736	0.1
-5.734	0.1
-5.733	0.1
-5.732	0.1
-5.73	0.1
-5.728	0.1
-5.727	0.1
-5.726	0.1
-5.724	0.1
-5.722	0.1
-5.721	0.1
-5.72	0.1
-5.718	0.1
-5.716	0.1
-5.715	0.1
-5.714	0.1
-5.712	0.1
-5.71	0.1
-5.709	0.1
-5.707	0.1
-5.706	0.1
-5.705	0.1
-5.703	0.1
-5.701	0.1
-5.7	0.1
-5.699	0.1
-5.697	0.1
-5.695	0.1
-5.694	0.1
-5.693	0.1
-5.691	0.1
-5.689	0.1
-5.688	0.11
-5.687	0.1
-5.685	0.1
-5.683	0.1
-5.682	0.1
-5.681	0.1
-5.679	0.1
-5.677	0.1
-5.676	0.09
-5.674	0.1
-5.673	0.1
-5.672	0.1
-5.67	0.1
-5.668	0.1
-5.667	0.1
-5.666	0.1
-5.664	0.1
-5.662	0.1
-5.661	0.1
-5.66	0.1
-5.658	0.1
-5.656	0.1
-5.655	0.1
-5.654	0.1
-5.652	0.1
-5.65	0.1
-5.649	0.1
-5.648	0.1
-5.646	0.1
-5.644	0.1
-5.643	0.1
-5.641	0.1
-5.64	0.1
-5.639	0.1
-5.637	0.1
-5.635	0.1
-5.634	0.1
-5.633	0.1
-5.631	0.1
-5.629	0.1
-5.628	0.1
-5.627	0.1
-5.625	0.1
-5.623	0.1
-5.622	0.1
-5.621	0.1
-5.619	0.1
-5.617	0.1
-5.616	0.1
-5.615	0.1
-5.613	0.1
-5.611	0.1
-5.61	0.1
-5.609	0.1
-5.607	0.1
-5.606	0.1
-5.604	0.1
-5.602	0.1
-5.601	0.1
-5.6	0.1
-5.598	0.1
-5.596	0.1
-5.595	0.1
-5.594	0.1
-5.592	0.1
-5.59	0.1
-5.589	0.1
-5.588	0.1
-5.586	0.1
-5.584	0.1
-5.583	0.1
-5.582	0.1
-5.58	0.1
-5.578	0.1
-5.577	0.1
-5.576	0.1
-5.574	0.1
-5.573	0.1
-5.571	0.1
-5.569	0.1
-5.568	0.1
-5.567	0.1
-5.565	0.1
-5.563	0.1
-5.562	0.1
-5.561	0.1
-5.559	0.1
-5.557	0.1
-5.556	0.1
-5.555	0.1
-5.553	0.1
-5.551	0.1
-5.55	0.1
-5.549	0.1
-5.547	0.11
-5.545	0.1
-5.544	0.1
-5.543	0.1
-5.541	0.1
-5.54	0.1
-5.538	0.1
-5.536	0.1
-5.535	0.1
-5.534	0.1
-5.532	0.09
-5.53	0.1
-5.529	0.1
-5.528	0.1
-5.526	0.1
-5.524	0.1
-5.523	0.1
-5.522	0.1
-5.52	0.1
-5.518	0.11
-5.517	0.1
-5.516	0.1
-5.514	0.1
-5.512	0.1
-5.511	0.1
-5.51	0.1
-5.508	0.1
-5.506	0.1
-5.505	0.1
-5.503	0.1
-5.502	0.1
-5.501	0.1
-5.499	0.09
-5.497	0.1
-5.496	0.11
-5.495	0.1
-5.493	0.1
-5.491	0.1
-5.49	0.1
-5.489	0.1
-5.487	0.1
-5.485	0.1
-5.484	0.1
-5.483	0.1
-5.481	0.1
-5.479	0.1
-5.478	0.1
-5.477	0.1
-5.475	0.1
-5.473	0.11
-5.472	0.1
-5.47	0.09
-5.469	0.1
-5.468	0.1
-5.466	0.1
-5.464	0.1
-5.463	0.1
-5.462	0.1
-5.46	0.1
-5.458	0.1
-5.457	0.1
-5.456	0.1
-5.454	0.1
-5.452	0.1
-5.451	0.1
-5.45	0.1
-5.448	0.09
-5.446	0.1
-5.445	0.1
-5.444	0.1
-5.442	0.1
-5.44	0.1
-5.439	0.1
-5.438	0.1
-5.436	0.1
-5.435	0.11
-5.433	0.1
-5.431	0.1
-5.43	0.1
-5.429	0.1
-5.427	0.1
-5.425	0.1
-5.424	0.1
-5.423	0.1
-5.421	0.1
-5.419	0.1
-5.418	0.1
-5.417	0.1
-5.415	0.1
-5.413	0.1
-5.412	0.11
-5.411	0.1
-5.409	0.1
-5.407	0.1
-5.406	0.1
-5.405	0.1
-5.403	0.1
-5.402	0.1
-5.4	0.1
-5.398	0.1
-5.397	0.1
-5.396	0.1
-5.394	0.1
-5.392	0.1
-5.391	0.1
-5.39	0.11
-5.388	0.1
-5.386	0.1
-5.385	0.1
-5.384	0.1
-5.382	0.1
-5.38	0.1
-5.379	0.11
-5.378	0.1
-5.376	0.1
-5.374	0.1
-5.373	0.11
-5.372	0.1
-5.37	0.1
-5.369	0.1
-5.367	0.1
-5.365	0.1
-5.364	0.1
-5.363	0.1
-5.361	0.1
-5.359	0.1
-5.358	0.1
-5.357	0.11
-5.355	0.1
-5.353	0.1
-5.352	0.1
-5.351	0.1
-5.349	0.1
-5.347	0.1
-5.346	0.1
-5.345	0.1
-5.343	0.1
-5.341	0.11
-5.34	0.1
-5.339	0.1
-5.337	0.1
-5.335	0.11
-5.334	0.1
-5.332	0.1
-5.331	0.11
-5.33	0.1
-5.328	0.1
-5.326	0.1
-5.325	0.11
-5.324	0.1
-5.322	0.11
-5.32	0.1
-5.319	0.1
-5.318	0.1
-5.316	0.1
-5.314	0.1
-5.313	0.1
-5.312	0.1
-5.31	0.1
-5.308	0.11
-5.307	0.1
-5.306	0.1
-5.304	0.1
-5.302	0.11
-5.301	0.1
-5.299	0.1
-5.298	0.1
-5.297	0.1
-5.295	0.11
-5.293	0.1
-5.292	0.1
-5.291	0.1
-5.289	0.11
-5.287	0.11
-5.286	0.1
-5.285	0.1
-5.283	0.1
-5.281	0.1
-5.28	0.11
